"id","youSaveSpend","fuelCost08","year","make","model","atvType","drive","VClass","evMotor","evMotorBatterySize","evMotorBatteryType","evMotorElKW"
26365,2250,750,2010,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
26366,2250,750,2010,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
26405,2250,750,2010,"Ford","Fusion Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
26415,2250,750,2010,"Mercury","Milan Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
26424,1500,900,2010,"Toyota","Camry Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
26425,3000,600,2010,"Toyota","Prius","Hybrid","Front-Wheel Drive","Midsize Cars","202V Ni-MH",202,"Ni-MH",NA
26473,-250,1250,2010,"Lexus","RX 450h","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
26496,-500,1300,2010,"Lexus","RX 450h AWD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
28588,1750,850,2010,"Lexus","HS 250h","Hybrid","Front-Wheel Drive","Compact Cars","245V Ni-MH",245,"Ni-MH",NA
28634,750,1050,2010,"Chevrolet","Malibu Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","36V Ni-MH",36,"Ni-MH",NA
28779,750,1050,2010,"Saturn","Vue Hybrid","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","36V Ni-MH",36,"Ni-MH",NA
29333,-2750,1750,2010,"Mercedes-Benz","S400 Hybrid","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
29442,1250,950,2010,"Ford","Escape Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29447,1250,950,2010,"Mazda","Tribute Hybrid 2WD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29450,1250,950,2010,"Mercury","Mariner Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29455,750,1050,2010,"Ford","Escape Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29459,750,1050,2010,"Mazda","Tribute Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29464,750,1050,2010,"Mercury","Mariner Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29712,2500,700,2010,"Honda","Civic Hybrid","Hybrid","Front-Wheel Drive","Compact Cars","158V Ni-MH",158,"Ni-MH",NA
29715,-2000,1600,2010,"Lexus","GS 450h","Hybrid","Rear-Wheel Drive","Compact Cars","288V Ni-MH",288,"Ni-MH",NA
29757,250,1150,2010,"Toyota","Highlander Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29764,-750,1350,2010,"Chevrolet","Silverado 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
29769,-750,1350,2010,"GMC","Sierra 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
29774,-1250,1450,2010,"Chevrolet","Silverado 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
29778,-1250,1450,2010,"GMC","Sierra 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
29781,-750,1350,2010,"Cadillac","Escalade Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29788,-750,1350,2010,"Chevrolet","Tahoe Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29791,-750,1350,2010,"GMC","Yukon 1500 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29800,-1250,1450,2010,"Chevrolet","Tahoe Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29802,-1250,1450,2010,"GMC","Yukon 1500 Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
29862,1500,900,2010,"Nissan","Altima Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
29881,-4250,2050,2010,"BMW","ActiveHybrid X6","Hybrid","All-Wheel Drive","Sport Utility Vehicle","312V Ni-MH",312,"Ni-MH",NA
29923,-2750,1750,2010,"Lexus","LS 600h L","Hybrid","All-Wheel Drive","Midsize Cars","288V Ni-MH",288,"Ni-MH",NA
29950,-2500,1700,2010,"Mercedes-Benz","ML450 Hybrid 4matic","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30074,-3250,1850,2011,"BMW","ActiveHybrid 7i","Hybrid","Rear-Wheel Drive","Midsize Cars","126V Li-Ion",126,"Li-Ion",NA
30089,1500,900,2011,"Toyota","Camry Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
30095,-3250,1850,2011,"BMW","ActiveHybrid 7Li","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
30193,-4250,2050,2011,"BMW","ActiveHybrid X6","Hybrid","All-Wheel Drive","Sport Utility Vehicle","312V Ni-MH",312,"Ni-MH",NA
30370,2250,750,2011,"Mercury","Milan Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
30371,2250,750,2011,"Lincoln","MKZ Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
30373,2250,750,2011,"Ford","Fusion Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
30458,-1250,1450,2011,"Chevrolet","Silverado 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
30459,-1250,1450,2011,"GMC","Sierra 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
30466,-1250,1450,2011,"Chevrolet","Silverado 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
30467,-1250,1450,2011,"GMC","Sierra 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
30511,-1250,1450,2011,"Cadillac","Escalade Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30512,-1250,1450,2011,"Chevrolet","Tahoe Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30513,-1250,1450,2011,"GMC","Yukon 1500 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30555,-1250,1450,2011,"Cadillac","Escalade Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30556,-1250,1450,2011,"Chevrolet","Tahoe Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30557,-1250,1450,2011,"GMC","Yukon 1500 Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30587,1500,900,2011,"Honda","CR-Z","Hybrid","Front-Wheel Drive","Two Seaters","101V Ni-MH",101,"Ni-MH",NA
30588,2000,800,2011,"Honda","CR-Z","Hybrid","Front-Wheel Drive","Two Seaters","101V Ni-MH",101,"Ni-MH",NA
30627,2250,750,2011,"Honda","Civic Hybrid","Hybrid","Front-Wheel Drive","Compact Cars","158V Ni-MH",158,"Ni-MH",NA
30632,-2000,1600,2011,"Lexus","GS 450h","Hybrid","Rear-Wheel Drive","Compact Cars","288V Ni-MH",288,"Ni-MH",NA
30737,1250,950,2011,"Ford","Escape Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30750,1250,950,2011,"Mazda","Tribute Hybrid 2WD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30753,1250,950,2011,"Mercury","Mariner Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30777,750,1050,2011,"Ford","Escape Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30795,750,1050,2011,"Mazda","Tribute Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30800,-2500,1700,2011,"Mercedes-Benz","ML450 Hybrid 4matic","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30807,750,1050,2011,"Mercury","Mariner Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
30826,750,1050,2011,"Toyota","Highlander Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30843,2250,750,2011,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
30844,2250,750,2011,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
30845,1750,850,2011,"Lexus","HS 250h","Hybrid","Front-Wheel Drive","Compact Cars","245V Ni-MH",245,"Ni-MH",NA
30860,-3250,1850,2011,"Lexus","LS 600h L","Hybrid","All-Wheel Drive","Midsize Cars","288V Ni-MH",288,"Ni-MH",NA
30863,1500,900,2011,"Nissan","Altima Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
30893,-250,1250,2011,"Lexus","RX 450h","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30907,-500,1300,2011,"Lexus","RX 450h AWD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30919,3000,600,2011,"Toyota","Prius","Hybrid","Front-Wheel Drive","Midsize Cars","202V Ni-MH",202,"Ni-MH",NA
30920,-1250,1450,2011,"GMC","Yukon Denali 1500 Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30964,-2750,1750,2011,"Porsche","Cayenne S Hybrid","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
30979,2750,650,2011,"Nissan","Leaf","EV","Front-Wheel Drive","Midsize Cars","80 kW DCPM",NA,NA,80
30980,2000,1000,2011,"Chevrolet","Volt","Plug-in Hybrid","Front-Wheel Drive","Compact Cars","111 kW",NA,NA,111
31002,2500,700,2011,"Lexus","CT 200h","Hybrid","Front-Wheel Drive","Compact Cars","202V Ni-MH",202,"Ni-MH",NA
31024,-2750,1750,2011,"Mercedes-Benz","S400 Hybrid","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
31063,-2750,1750,2011,"Volkswagen","Touareg Hybrid","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31064,2250,750,2011,"smart","fortwo electric drive cabriolet","EV","Rear-Wheel Drive","Two Seaters","30 kW DCPM",NA,NA,30
31065,2250,750,2011,"smart","fortwo electric drive coupe","EV","Rear-Wheel Drive","Two Seaters","30 kW DCPM",NA,NA,30
31076,1750,850,2011,"Hyundai","Sonata Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","270V Li-Ion",270,"Li-Ion",NA
31190,2500,700,2012,"Honda","Civic Hybrid","Hybrid","Front-Wheel Drive","Compact Cars","144V Li-Ion",144,"Li-Ion",NA
31218,-500,1300,2012,"Infiniti","M35h","Hybrid","Rear-Wheel Drive","Midsize Cars","346V Li-Ion",346,"Li-Ion",NA
31363,750,1050,2012,"Buick","Regal eAssist","Hybrid","Front-Wheel Drive","Midsize Cars","115V Li-Ion",115,"Li-Ion",NA
31364,750,1050,2012,"Buick","LaCrosse eAssist","Hybrid","Front-Wheel Drive","Midsize Cars","115V Li-Ion",115,"Li-Ion",NA
31388,2250,750,2012,"Ford","Fusion Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
31395,2250,750,2012,"Lincoln","MKZ Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
31479,1250,950,2012,"Ford","Escape Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
31509,750,1050,2012,"Ford","Escape Hybrid AWD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
31542,-2750,1750,2012,"Porsche","Cayenne S Hybrid","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31612,-2750,1750,2012,"Volkswagen","Touareg Hybrid","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31618,2000,1000,2012,"Chevrolet","Volt","Plug-in Hybrid","Front-Wheel Drive","Compact Cars","111 kW",NA,NA,111
31673,3000,600,2012,"Mitsubishi","i-MiEV","EV","Rear-Wheel Drive","Subcompact Cars","49 kW DCPM",NA,NA,49
31693,2500,700,2012,"Lexus","CT 200h","Hybrid","Front-Wheel Drive","Compact Cars","202V Ni-MH",202,"Ni-MH",NA
31767,3000,600,2012,"Toyota","Prius","Hybrid","Front-Wheel Drive","Midsize Cars","202V Ni-MH",202,"Ni-MH",NA
31799,-2750,1750,2012,"Mercedes-Benz","S400 Hybrid","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
31811,-1500,1500,2012,"Porsche","Panamera S Hybrid","Hybrid","Rear-Wheel Drive","Large Cars","288V Ni-MH",288,"Ni-MH",NA
31836,2500,700,2012,"Toyota","Prius v","Hybrid","Front-Wheel Drive","Midsize Station Wagons","202V Ni-MH",202,"Ni-MH",NA
31855,-1250,1450,2012,"Chevrolet","Silverado 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
31857,-1250,1450,2012,"GMC","Sierra 15 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
31862,-1250,1450,2012,"Chevrolet","Silverado 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
31864,-1250,1450,2012,"GMC","Sierra 15 Hybrid 4WD","Hybrid","All-Wheel Drive","Standard Pickup Trucks","288V Ni-MH",288,"Ni-MH",NA
31893,750,1050,2012,"Azure Dynamics","Transit Connect Electric Van","EV","Front-Wheel Drive","Special Purpose Vehicle","52 kW AC Induction",NA,NA,52
31894,750,1050,2012,"Azure Dynamics","Transit Connect Electric Wagon","EV","Front-Wheel Drive","Special Purpose Vehicle","52 kW AC Induction",NA,NA,52
31901,-1250,1450,2012,"Cadillac","Escalade Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31903,-1250,1450,2012,"Chevrolet","Tahoe Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31911,-1250,1450,2012,"GMC","Yukon 1500 Hybrid 2WD","Hybrid","Rear-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31926,-250,1250,2012,"Lexus","RX 450h","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31948,-1250,1450,2012,"Cadillac","Escalade Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31951,-1250,1450,2012,"Chevrolet","Tahoe Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31958,-1250,1450,2012,"GMC","Yukon 1500 Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31960,-1250,1450,2012,"GMC","Yukon Denali 1500 Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31971,-500,1300,2012,"Lexus","RX 450h AWD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
31995,750,1050,2012,"Toyota","Highlander Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
32005,1750,850,2011,"Kia","Optima Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","270V Li-Ion",270,"Li-Ion",NA
32011,1500,900,2012,"Honda","CR-Z","Hybrid","Front-Wheel Drive","Two Seaters","101V Ni-MH",101,"Ni-MH",NA
32012,2000,800,2012,"Honda","CR-Z","Hybrid","Front-Wheel Drive","Two Seaters","101V Ni-MH",101,"Ni-MH",NA
32053,2500,700,2012,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
32054,2500,700,2012,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
32055,1750,850,2012,"Lexus","HS 250h","Hybrid","Front-Wheel Drive","Compact Cars","245V Ni-MH",245,"Ni-MH",NA
32073,-3250,1850,2012,"BMW","ActiveHybrid 7","Hybrid","Rear-Wheel Drive","Midsize Cars","126V Li-Ion",126,"Li-Ion",NA
32084,-3250,1850,2012,"Lexus","LS 600h L","Hybrid","All-Wheel Drive","Midsize Cars","288V Ni-MH",288,"Ni-MH",NA
32092,2250,750,2012,"Toyota","Camry Hybrid LE","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
32093,2250,750,2012,"Toyota","Camry Hybrid XLE","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
32098,-3250,1850,2012,"BMW","ActiveHybrid 7L","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
32154,2750,650,2012,"Nissan","Leaf","EV","Front-Wheel Drive","Midsize Cars","80 kW DCPM",NA,NA,80
32183,3000,600,2012,"Toyota","Prius c","Hybrid","Front-Wheel Drive","Compact Cars","144V Ni-MH",144,"Ni-MH",NA
32186,1750,850,2012,"Hyundai","Sonata Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","270V Li-Ion",270,"Li-Ion",NA
32187,1750,850,2012,"Kia","Optima Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","270V Li-Ion",270,"Li-Ion",NA
32208,750,1050,2013,"Chevrolet","Malibu eAssist","Hybrid","Front-Wheel Drive","Midsize Cars","115V Li-Ion",115,"Li-Ion",NA
32276,2750,650,2011,"BMW","Active E","EV","Rear-Wheel Drive","Subcompact Cars","125 kW AC Induction",NA,NA,125
32277,1500,900,2012,"CODA Automotive","CODA","EV","Front-Wheel Drive","Subcompact Cars","100 kW DCPM",NA,NA,100
32278,3000,600,2012,"Ford","Focus Electric","EV","Front-Wheel Drive","Compact Cars","107 kW AC Induction",NA,NA,107
32339,0,1200,2013,"Lexus","GS 450h","Hybrid","Rear-Wheel Drive","Midsize Cars","288V Ni-MH",288,"Ni-MH",NA
32344,-250,1250,2013,"Lexus","RX 450h","Hybrid","Front-Wheel Drive","Small Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
32350,-500,1300,2013,"Lexus","RX 450h AWD","Hybrid","All-Wheel Drive","Small Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
32399,750,1050,2013,"Buick","Regal eAssist","Hybrid","Front-Wheel Drive","Midsize Cars","115V Li-Ion",115,"Li-Ion",NA
32400,750,1050,2013,"Buick","LaCrosse eAssist","Hybrid","Front-Wheel Drive","Midsize Cars","115V Li-Ion",115,"Li-Ion",NA
32484,3000,600,2012,"Toyota","Prius Plug-in Hybrid","Plug-in Hybrid","Front-Wheel Drive","Midsize Cars","18 kW",NA,NA,18
32493,-500,1300,2013,"Infiniti","M35h","Hybrid","Rear-Wheel Drive","Midsize Cars","346V Li-Ion",346,"Li-Ion",NA
